Wavelength[nm]	1712306U3-   13.08.2020  13:17:29  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:29  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:30  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:30  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:30  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:30  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:30  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:31  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:31  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:31  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:31  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:31  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:32  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:32  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:32  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:32  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:32  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:33  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:33  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:33  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:33  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:33  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:34  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:34  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:34  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:34  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:34  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:35  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:35  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:35  Int.Delay = 4,48 µs, HWmode=1
322.944	1356.438738	1288.522473	1328.140294	1288.522473	1413.035625	1482.838453	1335.686545	1305.501539	1435.67438	1433.787817	1458.313135	1405.489373	1418.695314	1454.540009	1290.409035	1328.140294	1403.60281	1216.833082	1363.984989	1269.656843	1488.498142	1258.337466	1371.531241	1269.656843	1371.531241	1316.820916	1350.779049	1352.665612	1313.04779	1401.716248
323.033	1061.165928	1171.212765	1106.75676	1116.189346	1102.040467	1131.910323	1249.817648	1202.654718	1155.491788	1188.505839	1124.049835	1153.91969	1141.342909	1155.491788	1169.640667	1067.454318	1064.310123	985.7052395	1177.501155	1119.333542	1109.900955	1169.640667	1125.621932	1146.059202	1092.607881	1146.059202	1146.059202	1102.040467	1056.449635	1127.19403
323.122	1172.778515	1096.809057	1060.407025	1068.32051	1131.628392	1058.824328	1190.188183	1353.205979	1168.030424	1174.361212	1212.345942	1166.447727	1185.440092	1187.022789	1101.557148	1122.13221	1069.903207	1111.05333	1068.32051	1109.470633	1145.872665	1120.549513	1153.786151	1049.328145	1060.407025	1115.801421	1104.722542	1076.233995	1141.124574	1076.233995
323.211	1328.390002	1194.521242	1146.46579	1252.874291	1307.794808	1422.784641	1256.306824	1146.46579	1369.58039	1324.95747	1338.687599	1376.445454	1295.780945	1415.919576	1203.102573	1192.804976	1165.344718	1213.40017	1170.493516	1185.939911	1211.683904	1232.279098	1263.171888	1197.953775	1187.656178	1227.130299	1261.455622	1170.493516	1146.46579	1215.116436
323.299	1309.137755	1280.005344	1409.280421	1290.929998	1412.921972	1343.732494	1442.054384	1502.139984	1443.87516	1358.2987	1442.054384	1349.194822	1460.262142	1452.979039	1259.97681	1259.97681	1250.872932	1190.787332	1298.213101	1101.569321	1323.703961	1289.109222	1207.174314	1305.496204	1290.929998	1272.722241	1274.543016	1289.109222	1252.693707	1321.883185
323.388	1070.516013	1070.516013	1045.274998	1091.302732	1107.635154	1156.63242	1146.23906	1297.685154	1202.660154	1202.660154	1039.335935	1110.604685	1172.964841	1088.333201	1027.45781	1042.305467	1027.45781	962.1281231	1076.455076	1048.244529	1119.513279	984.3996074	1037.85117	1119.513279	1049.729295	1061.60742	1060.122654	1051.21406	1015.579685	1061.60742
323.477	1157.192619	1288.49284	1207.962038	1265.734135	1295.495519	1386.530339	1325.256902	1411.039714	1307.750206	1298.996858	1286.742171	1230.720743	1367.272973	1360.270295	1211.463377	1213.214047	1197.45802	1181.701993	1249.978109	1348.015607	1195.70735	1249.978109	1155.441949	1176.449985	1272.736814	1274.487483	1253.479448	1141.436592	1190.455342	1190.455342
323.566	1231.767995	1164.088435	1199.620204	1145.476556	1165.780424	1252.071863	1211.464127	1358.66717	1240.22794	1311.291478	1290.98761	1302.831533	1204.696171	1260.531808	1167.472413	1187.776281	1191.160259	1125.172688	1257.14783	1035.49727	1225.000039	1191.160259	1150.552523	1240.22794	1159.012468	1208.080149	1196.236226	1157.320479	1191.160259	1245.303907
323.655	1153.203368	1121.042318	1121.042318	1085.818311	1110.321968	1121.042318	1108.79049	1105.727532	1140.95154	1154.734847	1108.79049	1104.196054	1196.084768	1163.923718	1124.105275	1082.755354	1137.888582	1021.496211	1101.133097	1058.251696	1012.307339	1116.447882	1108.79049	1122.573797	1056.720218	1085.818311	1055.188739	1061.314654	1139.420061	1044.468389
323.744	1012.103763	1070.288246	1039.664834	1059.570052	1068.757075	1241.779352	1111.629852	1139.190922	1074.881757	1100.911658	1130.003899	1157.56497	1137.659752	1113.161022	1035.071322	1059.570052	1152.971458	1054.97654	1130.003899	1194.313064	1067.225905	1111.629852	1054.97654	1096.318146	1025.884298	1082.53761	1047.320687	1074.881757	1032.008981	1067.225905
